##############################################################################
                            PAGE RANK ALGORITHM                               
##############################################################################

This program computes the Page Rank of a network of airports and flights
Page Rank algorithm uses the following parameters:
	 - MAX_ITERATIONS = 100
	 - DAMPING_FACTOR = 0.85
	 - EPSILON = 1e-05

##############################################################################

Reading Airport file from airports.txt
There were 5740 airports with a valid IATA code
There were 1923 airports with an invalid IATA code

Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

##############################################################################

Results:
Rank	IATA	PageRank	Name
 192	PAC 	0.00059337	Marcos A Gelabert Intl, Panama
 193	CTS 	0.00059305	New Chitose, Japan
 194	BGY 	0.00059298	Bergamo Orio Al Serio, Italy
 195	KTM 	0.00059276	Tribhuvan Intl, Nepal
 196	LAD 	0.00059082	Luanda 4 De Fevereiro, Angola
 197	DRW 	0.00058882	Darwin Intl, Australia
 198	NAS 	0.00058800	Lynden Pindling Intl, Bahamas
 199	HAV 	0.00058599	Jose Marti Intl, Cuba
 200	RIX 	0.00058584	Riga Intl, Latvia
 201	TNA 	0.00058044	Jinan, China
 202	SUB 	0.00057949	Juanda, Indonesia
 203	OVB 	0.00057660	Tolmachevo, Russia
 204	TSN 	0.00057483	Binhai, China
 205	KWE 	0.00057313	Longdongbao, China
 206	BRS 	0.00056089	Bristol, United Kingdom
 207	POA 	0.00056025	Salgado Filho, Brazil
 208	LTN 	0.00055662	Luton, United Kingdom
 209	CWB 	0.00055597	Afonso Pena, Brazil
 210	WLG 	0.00055438	Wellington Intl, New Zealand
 211	GDL 	0.00055307	Don Miguel Hidalgo Y Costilla Intl, Mexico
 212	FUK 	0.00055025	Fukuoka, Japan
 213	KHI 	0.00054788	Jinnah Intl, Pakistan
 214	HYD 	0.00054320	Hyderabad, India
 215	CMB 	0.00054300	Bandaranaike Intl Colombo, Sri Lanka
 216	TAS 	0.00053995	Yuzhny, Uzbekistan
 217	MCI 	0.00053995	Kansas City Intl, United States
 218	CGH 	0.00053475	Congonhas, Brazil
 219	OPO 	0.00053384	Porto, Portugal
